BaseYear,state,incidentType,designatedArea,Freq,FID
2000,NM,Fire,Chaves,3,1578
2000,NM,Fire,De Baca,3,1589
2000,NM,Fire,Doña Ana,3,1590
2000,NM,Fire,Eddy,4,1592
2000,NM,Fire,Guadalupe,3,1595
2000,NM,Fire,Lincoln,7,1613
2000,NM,Fire,Sierra,3,1657
2000,NM,Fire,Bernalillo,5,1574
2000,NM,Fire,Cibola,3,1580
2000,NM,Fire,McKinley,3,1626
2000,NM,Fire,Mora,7,1629
2000,NM,Fire,Rio Arriba,4,1639
2000,NM,Fire,Sandoval,4,1646
2000,NM,Fire,Socorro,5,1659
2000,NM,Fire,San Juan,3,1650
2000,NM,Fire,San Miguel,6,1652
2000,NM,Fire,Santa Fe,4,1654
2000,NM,Fire,Taos,3,1662
2000,NM,Fire,Torrance,6,1664
2000,NM,Fire,Otero,7,1633
2000,NM,Fire,Los Alamos,3,1618
2000,MT,Fire,Blaine,1,1124
2000,MT,Fire,Broadwater,2,1132
2000,MT,Fire,Carbon,2,1137
2000,MT,Fire,Carter,1,1141
2000,MT,Fire,Cascade,1,1144
2000,MT,Fire,Chouteau,1,1150
2000,MT,Fire,Big Horn,1,1274
2000,MT,Fire,Custer,1,1153
2000,MT,Fire,Deer Lodge,2,1163
2000,MT,Fire,Fallon,1,1165
2000,MT,Fire,Fergus,1,1169
2000,MT,Fire,Flathead,5,1173
2000,MT,Fire,Gallatin,2,1177
2000,MT,Fire,Garfield,2,1182
2000,MT,Fire,Golden Valley,1,1189
2000,MT,Fire,Granite,2,1192
2000,MT,Fire,Hill,1,1195
2000,MT,Fire,Jefferson,2,1199
2000,MT,Fire,Judith Basin,1,1202
2000,MT,Fire,Glacier,1,1186
2000,MT,Fire,Lake,2,1207
2000,MT,Fire,Lewis and Clark,4,1211
2000,MT,Fire,Liberty,1,1214
2000,MT,Fire,Lincoln,2,1219
2000,MT,Fire,Meagher,2,1231
2000,MT,Fire,Madison,2,1226
2000,MT,Fire,Missoula,5,1239
2000,MT,Fire,Musselshell,1,1241
2000,MT,Fire,Park,2,1244
2000,MT,Fire,Petroleum,1,1247
2000,MT,Fire,Mineral,3,1234
2000,MT,Fire,Phillips,1,1250
2000,MT,Fire,Pondera,1,1254
2000,MT,Fire,Powder River,1,1259
2000,MT,Fire,Prairie,1,1264
2000,MT,Fire,Ravalli,2,1268
2000,MT,Fire,Rosebud,1,1277
2000,MT,Fire,Sanders,3,1278
2000,MT,Fire,Powell,3,1262
2000,MT,Fire,Silver Bow,2,1284
2000,MT,Fire,Stillwater,4,1286
2000,MT,Fire,Sweet Grass,3,1288
2000,MT,Fire,Teton,1,1290
2000,MT,Fire,Toole,1,1292
2000,MT,Fire,Treasure,1,1293
2000,MT,Fire,Yellowstone,3,1302
2000,MT,Fire,Beaverhead,2,1269
2000,ID,Fire,Ada,1,336
2000,MT,Fire,Wheatland,1,1298
2000,ID,Fire,Bingham,1,362
2000,ID,Fire,Blaine,2,371
2000,ID,Fire,Boise,1,380
2000,ID,Fire,Clearwater,1,474
